id	filename	md5	size	state
661451ba-40a5-4a6b-a0b2-5e74e24c238c	661451ba-40a5-4a6b-a0b2-5e74e24c238c/nationwidechildrens.org_biospecimen.TCGA-ZP-A9D2.xml	b7e83c425c46d39e92c2b51b3d9140da	52262	validated
668e9a35-e4f7-495d-89ef-db1e3555a9d3	668e9a35-e4f7-495d-89ef-db1e3555a9d3/nationwidechildrens.org_biospecimen.TCGA-G3-A25S.xml	62a605e938cea7caaadbbb9020ac4e8a	58917	validated
68544acb-a53d-4069-bbae-e1395e578330	68544acb-a53d-4069-bbae-e1395e578330/nationwidechildrens.org_biospecimen.TCGA-BW-A5NO.xml	6c1499d39ed83e5f306bdcfbdd463396	58880	validated
6a572cb9-db75-4446-9281-958c1a345ac8	6a572cb9-db75-4446-9281-958c1a345ac8/nationwidechildrens.org_biospecimen.TCGA-G3-A3CJ.xml	62f6d3015caef10981bff5934db4bd97	57228	validated
6d23a8ca-19d5-4a0d-a0c5-fc304256e34c	6d23a8ca-19d5-4a0d-a0c5-fc304256e34c/nationwidechildrens.org_biospecimen.TCGA-DD-AAEK.xml	461c24ea343e66de7e457260f3869f55	41526	validated
6eca3e2f-a48b-4081-89d2-66d750421f0a	6eca3e2f-a48b-4081-89d2-66d750421f0a/nationwidechildrens.org_biospecimen.TCGA-G3-A25U.xml	82aedc31031598fcb56884565ceaf757	63849	validated
705937c9-d495-410b-9d16-9d7dd2892d70	705937c9-d495-410b-9d16-9d7dd2892d70/nationwidechildrens.org_biospecimen.TCGA-K7-AAU7.xml	c53bcaaca196cccce5fee932b062f7a7	52258	validated
71a602a7-0962-40b8-8925-fd672fe417d7	71a602a7-0962-40b8-8925-fd672fe417d7/nationwidechildrens.org_biospecimen.TCGA-DD-AACX.xml	827073bd28dd8ae24f85be9ae58ae630	41519	validated
71ab84fb-5491-4eef-aeed-7b41480688c5	71ab84fb-5491-4eef-aeed-7b41480688c5/nationwidechildrens.org_biospecimen.TCGA-FV-A3I0.xml	c61d66ed03c3f77b938738e5816b829c	73168	validated
72fc1787-f71a-42b2-8ca2-ffd77699f84a	72fc1787-f71a-42b2-8ca2-ffd77699f84a/nationwidechildrens.org_biospecimen.TCGA-DD-AADB.xml	6bd17d4c0dfe946d17b5a8c5d93c524e	41517	validated
73c1217a-602e-46da-b4de-bf79093613af	73c1217a-602e-46da-b4de-bf79093613af/nationwidechildrens.org_biospecimen.TCGA-DD-AADL.xml	e6b82fd3952ec65aafdf4fb52186a577	41517	validated
76f7d315-8299-4466-ad8e-96c59df4070d	76f7d315-8299-4466-ad8e-96c59df4070d/nationwidechildrens.org_biospecimen.TCGA-HP-A5N0.xml	dc94524b5602449f04fc1c2df8e62f54	53833	validated
77e1e7df-4bea-4618-88a6-cd1501b79101	77e1e7df-4bea-4618-88a6-cd1501b79101/nationwidechildrens.org_biospecimen.TCGA-ED-A627.xml	234b9c3563da3dc922c59c085b61d748	53956	validated
789a7901-b5b6-43c1-9af2-72b8d928e71b	789a7901-b5b6-43c1-9af2-72b8d928e71b/nationwidechildrens.org_biospecimen.TCGA-RC-A6M5.xml	388d42da81c78a622b7bb44fc35508ab	52299	validated
7d99eeb2-62f4-41d1-8edc-febc1f08a519	7d99eeb2-62f4-41d1-8edc-febc1f08a519/nationwidechildrens.org_biospecimen.TCGA-G3-A3CI.xml	8d4bf1f905b6097665b93b04a5443615	58886	validated
7e29156c-ac67-49c9-8d48-a70038ddd1de	7e29156c-ac67-49c9-8d48-a70038ddd1de/nationwidechildrens.org_biospecimen.TCGA-DD-A39W.xml	981c5b533bd32537e25f4e66cc09f843	72534	validated
81a58862-0a12-4b28-9662-6eb8f1acc904	81a58862-0a12-4b28-9662-6eb8f1acc904/nationwidechildrens.org_biospecimen.TCGA-EP-A2KB.xml	82de77bc227db9194eba33d5fd9a20e5	58882	validated
870d86fc-9e7b-4c54-9f83-5f9eb3a79b2c	870d86fc-9e7b-4c54-9f83-5f9eb3a79b2c/nationwidechildrens.org_biospecimen.TCGA-UB-A7MA.xml	87c958535a88865336f105812a4155a2	58879	validated
89234fb5-af40-4363-838a-45f5bf4105b1	89234fb5-af40-4363-838a-45f5bf4105b1/nationwidechildrens.org_biospecimen.TCGA-DD-A39X.xml	e18f6983cc2bfd5c1134fedc57c21562	72696	validated
8cc6cf2b-fe11-4d2f-b544-e9e98f872396	8cc6cf2b-fe11-4d2f-b544-e9e98f872396/nationwidechildrens.org_biospecimen.TCGA-DD-AAE3.xml	348f22c1c6af8d334cd0350640ae9ca9	41517	validated
